,eps,marg_err,inv_err,inv_m_err,algo
0,0.01,0.007258064516129027,0.006290322580645155,0.006290322580645155,SVM
1,0.03,0.02532258064516128,0.024354838709677407,0.02516129032258063,SVM
2,0.05,0.04241935483870968,0.04403225806451613,0.04629032258064516,SVM
3,0.1,0.09161290322580645,0.08983870967741935,0.09145161290322582,SVM
4,0.15,0.14193548387096772,0.1437096774193548,0.14387096774193545,SVM
5,0.2,0.18435483870967742,0.185,0.185,SVM
6,0.01,0.000806451612903225,0.0,0.0,DT
7,0.03,0.01564516129032257,0.0024193548387096762,0.003064516129032256,DT
8,0.05,0.03370967741935483,0.01725806451612903,0.02016129032258064,DT
9,0.1,0.08741935483870969,0.08612903225806452,0.08645161290322581,DT
10,0.15,0.13774193548387095,0.14209677419354835,0.14225806451612902,DT
11,0.2,0.17467741935483871,0.17580645161290323,0.17596774193548387,DT
12,0.01,0.0020967741935483853,0.0,0.0,KNN
13,0.03,0.006935483870967737,0.0012903225806451624,0.0012903225806451624,KNN
14,0.05,0.0217741935483871,0.015483870967741935,0.015483870967741935,KNN
15,0.1,0.08806451612903228,0.08096774193548387,0.08096774193548387,KNN
16,0.15,0.11951612903225806,0.09774193548387097,0.09774193548387097,KNN
17,0.2,0.1591935483870968,0.14854838709677418,0.1487096774193548,KNN
18,0.01,0.0070967741935483815,0.008387096774193541,0.008387096774193541,Ada
19,0.03,0.021935483870967734,0.02370967741935483,0.02564516129032257,Ada
20,0.05,0.03887096774193547,0.04161290322580645,0.04483870967741935,Ada
21,0.1,0.08935483870967745,0.09338709677419355,0.09806451612903225,Ada
22,0.15,0.13854838709677417,0.13919354838709674,0.14209677419354838,Ada
23,0.2,0.17967741935483872,0.17822580645161287,0.17935483870967736,Ada
24,0.01,0.007258064516129027,0.011129032258064506,0.011129032258064506,GNB
25,0.03,0.025806451612903215,0.025967741935483856,0.025967741935483856,GNB
26,0.05,0.043709677419354824,0.04177419354838709,0.04177419354838709,GNB
27,0.1,0.0970967741935484,0.09919354838709679,0.09919354838709679,GNB
28,0.15,0.1480645161290322,0.15370967741935485,0.15370967741935485,GNB
29,0.2,0.18838709677419355,0.19048387096774191,0.19048387096774191,GNB
30,0.01,0.006290322580645155,0.004999999999999995,0.004999999999999995,MPR
31,0.03,0.0179032258064516,0.01741935483870967,0.017741935483870958,MPR
32,0.05,0.03596774193548387,0.03677419354838709,0.036935483870967734,MPR
33,0.1,0.09112903225806451,0.09241935483870968,0.09274193548387097,MPR
34,0.15,0.14580645161290318,0.14596774193548384,0.14596774193548384,MPR
35,0.2,0.18806451612903224,0.18854838709677418,0.18854838709677418,MPR
36,0.01,0.009032258064516121,0.009999999999999992,0.009999999999999992,RF
37,0.03,0.025967741935483856,0.03032258064516128,0.03274193548387096,RF
38,0.05,0.04774193548387096,0.04838709677419355,0.05161290322580645,RF
39,0.1,0.09629032258064515,0.0970967741935484,0.10112903225806451,RF
40,0.15,0.15064516129032254,0.14403225806451608,0.14596774193548384,RF
41,0.2,0.1975806451612903,0.1858064516129032,0.18629032258064515,RF
42,0.01,0.006612903225806446,0.00725806451612903,0.00725806451612903,QDA
43,0.03,0.02048387096774193,0.02564516129032257,0.02564516129032257,QDA
44,0.05,0.03887096774193548,0.046612903225806454,0.046935483870967735,QDA
45,0.1,0.09774193548387099,0.09806451612903226,0.09822580645161291,QDA
46,0.15,0.1487096774193548,0.14870967741935484,0.14870967741935484,QDA
47,0.2,0.18661290322580643,0.18661290322580643,0.18661290322580643,QDA
