,eps,marg_err,inv_err,inv_m_err,algo
0,0.01,0.0,0.0,0.0,SVM
1,0.03,0.0,0.0,0.0,SVM
2,0.05,0.03666666666666666,0.03599999999999999,0.03599999999999999,SVM
3,0.1,0.07933333333333331,0.07599999999999998,0.07599999999999998,SVM
4,0.15,0.1393333333333333,0.13666666666666666,0.13666666666666666,SVM
5,0.2,0.17266666666666666,0.172,0.172,SVM
6,0.01,0.0,0.0,0.0,DT
7,0.03,0.0,0.0,0.0,DT
8,0.05,0.013999999999999999,0.015999999999999993,0.015999999999999993,DT
9,0.1,0.04599999999999999,0.04466666666666665,0.04466666666666665,DT
10,0.15,0.061999999999999986,0.06399999999999997,0.06399999999999997,DT
11,0.2,0.06733333333333333,0.06933333333333333,0.06933333333333333,DT
12,0.01,0.0,0.0,0.0,KNN
13,0.03,0.0,0.0,0.0,KNN
14,0.05,0.028666666666666663,0.028666666666666663,0.028666666666666663,KNN
15,0.1,0.055999999999999994,0.055999999999999994,0.055999999999999994,KNN
16,0.15,0.09533333333333331,0.09533333333333331,0.09533333333333331,KNN
17,0.2,0.10999999999999996,0.10999999999999996,0.10999999999999996,KNN
18,0.01,0.0,0.0,0.0,Ada
19,0.03,0.0,0.0,0.0,Ada
20,0.05,0.028666666666666663,0.028666666666666663,0.028666666666666663,Ada
21,0.1,0.055999999999999994,0.055999999999999994,0.055999999999999994,Ada
22,0.15,0.08133333333333333,0.07999999999999999,0.07999999999999999,Ada
23,0.2,0.08866666666666664,0.08866666666666664,0.08866666666666664,Ada
24,0.01,0.0,0.0,0.0,GNB
25,0.03,0.0,0.0,0.0,GNB
26,0.05,0.04066666666666666,0.04066666666666666,0.04066666666666666,GNB
27,0.1,0.07066666666666666,0.07066666666666666,0.07066666666666666,GNB
28,0.15,0.1413333333333333,0.1413333333333333,0.1413333333333333,GNB
29,0.2,0.16333333333333336,0.16333333333333336,0.16333333333333336,GNB
30,0.01,0.0,0.0,0.0,MPR
31,0.03,0.0,0.0,0.0,MPR
32,0.05,0.03933333333333333,0.03866666666666667,0.03866666666666667,MPR
33,0.1,0.06399999999999999,0.06399999999999999,0.06399999999999999,MPR
34,0.15,0.13266666666666665,0.12733333333333333,0.12733333333333333,MPR
35,0.2,0.16466666666666666,0.16199999999999998,0.16199999999999998,MPR
36,0.01,0.0,0.0,0.0,RF
37,0.03,0.0,0.0,0.0,RF
38,0.05,0.033333333333333326,0.03533333333333333,0.03533333333333333,RF
39,0.1,0.06999999999999999,0.07533333333333332,0.076,RF
40,0.15,0.11733333333333333,0.12933333333333333,0.12933333333333333,RF
41,0.2,0.144,0.15066666666666664,0.15066666666666664,RF
42,0.01,0.0,0.0,0.0,QDA
43,0.03,0.0,0.0,0.0,QDA
44,0.05,0.031999999999999994,0.031999999999999994,0.031999999999999994,QDA
45,0.1,0.06533333333333333,0.06533333333333333,0.06533333333333333,QDA
46,0.15,0.12333333333333332,0.12333333333333332,0.12333333333333332,QDA
47,0.2,0.14733333333333332,0.14733333333333332,0.14733333333333332,QDA
